,comment,machine_id,start_time,end_time,duration,name,downtime_code_id,Name_2,year,Station
1145880,No Comment and No Reason Code,287.0,2021-01-11 13:53:31.023,2021-01-11 13:56:48.073,197.5,WLM03 ST130,,,2021,
1145927,No Comment and No Reason Code,287.0,2021-01-11 14:00:12.027,2021-01-11 14:02:09.027,117.0,WLM03 ST130,,,2021,
1145973,No Comment and No Reason Code,287.0,2021-01-11 14:06:16.033,2021-01-11 14:20:00.000,823.665,WLM03 ST130,,,2021,
1146093,break,287.0,2021-01-11 14:20:00.000,2021-01-11 14:35:00.000,900.0,WLM03 ST130,74.0,break,2021,
1146196,break: overage,287.0,2021-01-11 14:35:00.000,2021-01-11 14:39:46.100,286.992,WLM03 ST130,219.0,break: overage,2021,
1146204,No Comment and No Reason Code,287.0,2021-01-11 14:39:46.100,2021-01-11 14:43:33.003,226.034,WLM03 ST130,,,2021,
1146273,No Comment and No Reason Code,287.0,2021-01-11 14:50:28.013,2021-01-11 15:00:27.070,599.554,WLM03 ST130,,,2021,
1146352,No Comment and No Reason Code,287.0,2021-01-11 15:08:25.083,2021-01-11 15:11:54.037,208.519,WLM03 ST130,,,2021,
1146372,No Comment and No Reason Code,287.0,2021-01-11 15:15:17.043,2021-01-11 15:48:13.080,1976.371,WLM03 ST130,,,2021,
1146542,No Comment and No Reason Code,287.0,2021-01-11 15:53:46.033,2021-01-11 15:57:24.033,217.998,WLM03 ST130,,,2021,
1146580,No Comment and No Reason Code,287.0,2021-01-11 16:00:44.037,2021-01-11 16:46:24.077,2740.41,WLM03 ST130,,,2021,
1146755,op.90 casting 2d format,287.0,2021-01-11 16:46:24.077,2021-01-11 17:05:00.000,1115.221,WLM03 ST130,139.0,camera,2021,90.0
1146756,op.90 casting 2d format,287.0,2021-01-11 16:46:24.077,2021-01-11 17:05:00.000,1115.221,WLM03 ST130,139.0,camera,2021,90.0
1146968,lunch: overage,287.0,2021-01-11 17:35:00.000,2021-01-11 17:38:10.043,190.428,WLM03 ST130,218.0,lunch: overage,2021,
1146973,No Comment and No Reason Code,287.0,2021-01-11 17:38:10.043,2021-01-11 18:04:07.007,1556.643,WLM03 ST130,,,2021,
1147087,"op.110, wash line conveyor jammed",287.0,2021-01-11 18:04:07.007,2021-01-11 18:27:17.087,1390.792,WLM03 ST130,131.0,conveyors,2021,110.0
1147151,No Comment and No Reason Code,287.0,2021-01-11 18:27:17.087,2021-01-11 19:09:59.087,2561.99,WLM03 ST130,,,2021,
1147361,No Comment and No Reason Code,287.0,2021-01-11 19:13:32.073,2021-01-11 19:45:00.000,1887.264,WLM03 ST130,,,2021,
1147628,No Comment and No Reason Code,287.0,2021-01-11 19:47:09.033,2021-01-11 19:49:00.000,110.672,WLM03 ST130,,,2021,
1147761,No Comment and No Reason Code,287.0,2021-01-11 19:49:00.000,2021-01-11 19:50:00.000,60.0,WLM03 ST130,,,2021,
1149680,No Comment and No Reason Code,287.0,2021-01-12 12:02:54.057,2021-01-12 12:16:16.027,801.683,WLM03 ST130,,,2021,
1149766,No Comment and No Reason Code,287.0,2021-01-12 12:22:38.063,2021-01-12 13:33:01.020,4222.548,WLM03 ST130,,,2021,
1150102,No Comment and No Reason Code,287.0,2021-01-12 13:39:25.097,2021-01-12 13:48:17.083,531.895,WLM03 ST130,,,2021,
1150199,No Comment and No Reason Code,287.0,2021-01-12 14:00:12.087,2021-01-12 14:04:24.050,251.617,WLM03 ST130,,,2021,
1150237,No Comment and No Reason Code,287.0,2021-01-12 14:14:08.040,2021-01-12 14:20:00.000,351.586,WLM03 ST130,,,2021,
1150301,break,287.0,2021-01-12 14:20:00.000,2021-01-12 14:35:00.000,900.0,WLM03 ST130,74.0,break,2021,
1150397,break: overage,287.0,2021-01-12 14:35:00.000,2021-01-12 14:40:07.027,307.271,WLM03 ST130,219.0,break: overage,2021,
1150414,No Comment and No Reason Code,287.0,2021-01-12 14:40:07.027,2021-01-12 15:18:08.060,2281.316,WLM03 ST130,,,2021,
1150610,No Comment and No Reason Code,287.0,2021-01-12 15:22:15.100,2021-01-12 15:50:06.063,1670.65,WLM03 ST130,,,2021,
1150738,No Comment and No Reason Code,287.0,2021-01-12 15:55:46.073,2021-01-12 16:04:15.010,508.38,WLM03 ST130,,,2021,
1150817,No Comment and No Reason Code,287.0,2021-01-12 16:14:23.090,2021-01-12 16:18:52.013,268.249,WLM03 ST130,,,2021,
1150896,No Comment and No Reason Code,287.0,2021-01-12 16:27:04.060,2021-01-12 17:05:00.000,2275.394,WLM03 ST130,,,2021,
1151257,lunch: overage,287.0,2021-01-12 17:35:00.000,2021-01-12 17:41:07.003,367.036,WLM03 ST130,218.0,lunch: overage,2021,
1151295,No Comment and No Reason Code,287.0,2021-01-12 17:41:07.003,2021-01-12 17:50:33.033,566.303,WLM03 ST130,,,2021,
1151396,op.50 mhr20r3 collision pedestal and deflector,287.0,2021-01-12 17:50:33.033,2021-01-12 18:10:29.077,1196.425,WLM03 ST130,143.0,crash,2021,50.0
1151480,No Comment and No Reason Code,287.0,2021-01-12 18:10:29.077,2021-01-12 18:20:06.020,576.447,WLM03 ST130,,,2021,
1151528,No Comment and No Reason Code,287.0,2021-01-12 18:23:31.053,2021-01-12 18:47:29.083,1438.291,WLM03 ST130,,,2021,
1151659,No Comment and No Reason Code,287.0,2021-01-12 18:52:41.030,2021-01-12 19:27:16.027,2074.972,WLM03 ST130,,,2021,
